,Molecule ChEMBL ID,Smiles,pChEMBL Value,activity
0,CHEMBL383618,Nc1c(-c2nc3ccccc3[nH]2)c(O)nc2cnccc12,8.4,1
1,CHEMBL245934,OCC1CCN(Cc2cccc3c2Cc2c-3n[nH]c2-c2ccsc2)CC1,4.75,0
2,CHEMBL150315,COc1cc2ncnc(Nc3ccc(Cl)cc3F)c2cc1OC,4.75,0
3,CHEMBL380536,FC(F)(F)Oc1ccc(Nc2nnc(-c3cccnc3CCc3ccncc3)o2)cc1,6.25,0
4,CHEMBL3977907,CCNC(=O)c1cc2nccc(Oc3cccc(NC(=O)c4occc4C)c3)c2s1,6.72,1
5,CHEMBL234010,Cc1cc(C(=O)Nc2ccc(Cl)cc2)n(CCc2ccncc2)n1,5.91,0
6,CHEMBL1784725,CCOC(=O)C1=C2C(=NC1=O)c1cccc3cccc2c13,5.5,0
7,CHEMBL396144,Cn1cnc(NCc2ccncc2)c1C(=O)Nc1cccc(Cl)c1,5.69,0
8,CHEMBL382308,Cc1ccc(NC(=O)c2scnc2CCc2cnoc2)c(F)c1,5.52,0
9,CHEMBL25610,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCN1CCOCC1,5.96,0
10,CHEMBL101253,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,7.27,1
11,CHEMBL4644718,COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(-n2c(C)ccc2CN2CCN(C)CC2)cc1)c1ccccc1,7.51,1
12,CHEMBL206136,c1cnc(CCc2ccncc2)c(-c2nnc(Nc3cnc4ccccc4c3)o2)c1,6.36,0
13,CHEMBL404367,Cc1cccc(NC(=O)Nc2ccc(-c3cncc4c3c(N)nn4C)cc2)c1,8.15,1
14,CHEMBL202643,Cc1cccc(NC(=O)c2ccccc2Cn2ccc3ncnc-3c2)c1,6.24,0
15,CHEMBL429743,COc1cc2nccc(Oc3ccc4c(C(=O)Nc5ccc(Cl)cc5)cccc4c3)c2cc1OC,9.3,1
16,CHEMBL436806,Nc1ncnc2occ(-c3ccc(NC(=O)Nc4ccc5ccccc5c4)cc3)c12,7.62,1
17,CHEMBL4104297,Nc1nccc(Oc2ccc3c(C(=O)Nc4cccc(C(F)(F)F)c4)cccc3c2)n1,6.09,0
