SMILES,NLL
CCCCCCCCCC(=O)OCOC(=O)NC(CCC(=O)NC(CS)C(=O)OC)C(=O)OC,42.01
Cc1ccccc1S(=O)(=O)NC(=O)C1(C)CCN1C(=O)CC1CCCCC1,23.5
CC1CCCC(NC(=O)c2ccc3c(c2)N(Cc2ccc(F)cc2)C(=O)c2ccccc2S3(=O)=O)C1C,24.8
O=C(c1ccc2c(c1)OCO2)N1CCCC(N=c2cnc(C(F)(F)F)c[nH]2)C1,22.92
O=C(Nc1ccccc1COc1ccccn1)c1cnn2cccnc12,27.31
COC(=O)c1ccc(CN2C(=O)SC(=Cc3cc(C(=O)N4CC(C)CC(C)C4)ccc3OC)C2=O)cc1,35.94
Cc1c(NC(=O)C(=O)CC(C)C)cccc1-c1cc(-c2ccc3ccc(Br)cc3c2)n(CC(=O)O)n1,47.86
COc1c(O)cc2c(CCCNc3ccc(C4CC4)cc3)c(CO)oc2c1CC=C(C)C,44.67
Cc1ccc(OCC(=O)N2CCOC2CNC(=O)c2cccc([N+](=O)[O-])c2)cc1,32.62
CC(C)(C)C(=O)Nc1cc(F)cc(-c2cnc3cc(-c4ncc(F)c(=N)[nH]4)ccn23)c1,28.32
COc1ccc(-c2csc(=NC(C)c3nc4ccccc4n3Cc3ccc(Cl)cc3)[nH]2)cc1,27.9
Cc1cc(O)c([N+](=O)[O-])n1Cc1ccccc1Cl,25.49
CC(=O)Oc1ccc(C=Cc2ccc3ccccc3n2)cc1,21.94
Fc1ccc(Cc2nn3c(-c4ccccc4F)nnc3s2)cc1,23.34
NC(=O)n1c(=O)oc2ccc(Br)cc21,25.3
COc1ccc(-c2noc(CSc3cc(C)cc(C)c3)n2)cc1,22.17
Cc1ccc(C(C#N)(CCCNCc2ccccc2)C(C)C)cc1,22.39
O=C(NCc1ccc(CN2CCOCC2)cc1)Nc1ccc(N2CCC(C(=O)N3CCCC3)CC2)cc1,30.9
Oc1ccc(-c2nc3cc(O)ccc3o2)cc1,17.85
CCCCCCOc1ccc(Cc2cc(C3OC(CO)C(O)C(O)C3O)ccc2Cl)nc1,23.46
O=C(OC(C(=O)NCCN1CCOCC1)c1ccccc1)c1ccco1,23.44
CS(=O)(=O)OCC1CN(C(=O)c2ccc(-c3ccn[nH]c3=NCc3ccccc3)cc2)c2ccccc21,45.59
CC(C)C(O)C(O)CCCC1CCC(O)C1c1ccc(C(C)(C)C)cc1,33.46
O=C(CNC(=O)c1ccc([N+](=O)[O-])cc1)NC12CC3CC(CC(C3)C1)C2,24.88
CCCNC(=O)c1c[nH]c(-c2cc(Oc3ccc(NC(=O)Nc4ccccc4Cl)cc3)ccn2)c1,24.55
COc1cc([N+](=O)[O-])ccc1C(C)=NNC(=O)c1ccc(Cc2noc3ccccc23)cc1,38.6
Cn1ncc2c(N3CCOCC3)nc(-c3ccc(NC4CCCCC4)c(Cl)c3)nc21,31.4
COc1ccc(C=NNC(=O)CN2CCN(Cc3ccccc3)CC2)cc1COc1ccc(F)cc1,28.25
Cn1c(=O)[nH]c(=O)c2c1ncn2CC(=O)Nc1ccc(Oc2ccc(Cl)cc2)cc1,29.23
O=CCc1c(C(=O)O)[nH]c2ccccc12,23.13
NC(N)=Nc1ccc(-c2ccc(-c3ccc(C=CC(=O)O)cc3)o2)c(Cl)c1,28.28
CCOc1ccc(C#N)c(NC(=O)c2cc(S(=O)(=O)N3CC(C)OC(C)C3)ccc2F)c1,33.94
COc1ccc(C=NNC(=O)C(=O)Nc2ccc(O)cc2)cc1Br,28.99
COC(=O)C(Cc1ccc(N(C(=O)C(=O)O)c2ccccc2C(=O)O)cc1)NC(=O)C=Cc1cc(O)ccc1O,40.15
O=C(Cc1ccc([N+](=O)[O-])cc1)NC1CCCCC1,19.96
O=C(O)CCCCCCC(=O)Nc1ccc([N+](=O)[O-])c(C(=O)Nc2ccc(-c3cnc(OCc4ccccc4)cn3)cc2)c1,43.97
Cc1nc(CN2CCOC3CN(Cc4ccccc4)CC3C2)cs1,24.38
COC(=O)CCC(C=NN(C)C)NC(=O)COc1ccc2ccccc2c1,34.47
O=Cc1ccc(Br)cc1,16.42
NC(=O)C1CCN(C(=O)CSc2nc(=O)cc[nH]2)CC1,24.6
CNC(=O)c1ccc(N=c2[nH]c3ccc(Oc4ccnc(C(=O)NC)c4)cc3[nH]2)c(OC)c1,26.83
CC(=O)NC(C)c1ccc(OC2CCN(c3ccc(OCC4CC4(F)F)cn3)C2)cc1,17.33
COC(=O)c1ccc(NC(=O)Cn2c(C)c(C#N)c3ccccc3c2=O)cc1,25.26
COc1ccccc1CNS(=O)(=O)c1cccc(C(=O)NCc2ccccc2)c1,26.08
CC(C)(C)Oc1cc(CN=c2[nH]c3ccccc3[nH]2)oc1-c1cccc(NC(=O)C2CCCN2)c1,46.57
CC(C)c1ncc2c(n1)CN(C(=O)c1cc(CN(C)C(C)C)on1)C2,32.54
CCN(Cc1ccc(Cl)nc1)C1=C([N+](=O)[O-])CN(CCC(=O)OCC(C)C)CN1C,23.52
COc1cc(F)c(C(=O)C(=O)NCCC(C)C)cc1Cl,34.95
CC1C2Cc3ccc(OC(=O)Nc4ccccc4)cc3C1(C)CCN2Cc1ccccc1,24.16
CC(=O)N1N=C(c2c(O)ccc3ccccc23)CC1c1cccc(O)c1O,26.86
Cc1ncn(CCO)c1-c1csc(C(C)(C)C)n1,29.57
CCOc1cc(NC(=O)C2(NC(=O)c3ccc4c(C5CCCCC5)c(C(C)(C)O)n(C)c4c3)CCC2)ccc1C=CC(=O)OCCN(C)C,34.8
O=c1[nH]c2cc(Cl)ccc2c(Cl)c1O,19.75
Cc1c(-c2ccccc2)oc2cccc(OC(=O)C(C)C)c2c1=O,29.49
NC(=O)C1CCCN(CCN(C(=O)c2ccccc2)c2cccc(Cl)c2)C1,29.57
COc1ccc(-c2oc(=O)n(CC(=O)N3CCN(c4cnc5ccccc5c4)CC3)c2-c2ccc(OC)c(OC)c2)cc1,32.97
COc1ccc(Cc2c(N)[nH]c(=N)[nH]c2=N)cc1OC,19.54
O=C(CCC1CCCN(C(=O)c2ccc3[nH]cnc3c2)C1)NCc1ccc(Cl)cc1,27.52
COc1cccc2c1CC(O)C(N1CCC(Cc3ccccc3)CC1)C2,22.76
C=CCC12CCN(C)C1N(C=CC=O)c1c(cc(OC)c(OC)c1OC)C2O,41.72
CC(=O)OC1NC(=O)C1N(OCCC(C)C)C(=O)C(O)C(C)NC(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)OC(C)(C)C)C(C)O,57.18
C=C(CCCC)CC1(C)CC2C(=O)OC2CC1=O,34.5
Cc1ccc(C(SCCN)(c2ccccc2)c2ccccc2)cc1,18.81
CCCOc1cc2oc3cc(OCCCN(C)CCCCCOc4ccc(-c5cc(=O)c6c(OC)c(OC)c(OC)cc6o5)cc4OC)ccc3c(=O)c2c(OCCCNC(=O)Cc2cccc([N+](=O)[O-])c2)c1OC,62.35
CC(C)(C)n1ncc2c(=O)[nH]c(=NCc3ccc(Br)cc3F)[nH]c21,28.7
Cc1cc(C)n2nc(C)c(C(=O)NC3CNc4ccc(F)cc4C3)c2n1,31.52
CCSC(=S)SCC(=O)c1ccc(NS(=O)(=O)c2ccc(Br)cc2)cc1,23.36
O=C(O)CCNC(=O)c1ccc(-c2cc(C(F)(F)F)ccc2CNc2ccc(-c3ccc(C(F)(F)F)cc3F)cc2)cn1,29.12
ON=C1CC2(CN=CNC2)OC1c1ccccc1,31.2
CCC(=O)COC(=O)NC,23.66
CCOc1ccc(CCN=Cc2cc(Br)ccc2O)cc1,24.98
O=C(Nc1cccc(CN2CCC(C(=O)NC3CCOCC3)CC2)c1)c1ccc(Cl)cc1,23.65
Oc1cccc(-c2nnn3ccccc23)c1,25.49
CCOC(=O)c1cc2c(O)c(C)c(CO)c(CO)c2c(C)c1-c1ccc(N(C)C)cc1,42.5
FC(F)(F)c1ccc(Cn2cncc2CNc2ccc(OCCCN3CCCCC3)c(-c3ccccc3)c2)cc1-c1ccccc1,34.65
Cc1nc(CN(C)CC2CCCN2c2nccnn2)no1,27.13
Cc1cc([N+](=O)[O-])ccc1NC(=O)c1sc2ncccc2c1N,28.31
Cc1ccc(NC(=O)Nc2ccc(S(N)(=O)=O)cc2)cc1,19.35
CNC(=O)Cc1ccccc1,17.98
CCOC(=O)Nc1cccc2c(=O)n3c(nc12)OC(C)(CO)C3OC,37.71
COc1cccc(NC(=O)CN(c2cc(Cl)ccc2OC)S(=O)(=O)c2ccccc2)c1,26.07
COc1ccc(-c2cc(NC(=O)N3CCC(N(C)C)C3)c3c(C(C)=O)c4n(c3c2)CCCCC4)cc1,43.32
COc1ccc2c(=O)n(-c3ccc4[nH]c(=NC(=O)C5CCCCC5)sc4c3)cnc2c1,31.23
Cc1cc(C)n(CCn2cc(-c3nc(CNC(=O)c4cc(C)n(C)n4)no3)nn2)n1,36.98
O=c1cc(C(F)(F)F)c2c(N3CNC4CC3C4)cccc2n1O,34.25
COC(=O)CCCc1noc2ccc(Cl)cc12,26.92
Cc1ccc(N2CCOC(Cn3nc(C)nc3C)C2)nn1,21.69
Nc1cccc2ccccc12,15.7
O=C1c2c(cc3oc(C(F)(F)F)nc3c2C(F)(F)F)CN1Cc1cccs1,37.59
CCOc1ccc(Cn2cc(C=NNC(=O)c3ccc(O)c(OC)c3)c3ccccc32)cc1,29.29
O=C(N1CCOCC1)C1(CNCc2ccccc2)CCCS1,30.3
CCCCCNC(=O)NCC(N)=O,24.08
Nc1ccc2[nH]c(-c3ccc(C(F)(F)F)cc3)nc2c1,21.43
COc1ccc(OC)c(SCCCN2CCc3cc(CN(CC=Cc4ccccc4)C(C)C)ccc32)c1,38.4
