SMILES,NLL
Cc1cc2cc(Cl)cn2c(Cc2ccc(F)c(C(=O)NCCC(=O)O)c2)n1,21.16
Cc1ccc(F)c(NC(=O)Nc2ccc(Oc3ccnc4cc(C(=O)NCCCN5CCOCC5)sc34)cc2F)c1,5.68
Cc1ccc(F)c(NC(=O)Nc2ccc(Oc3ccnc4cc(C(=O)NCCCN5CCCC(CO)C5)sc34)cc2)c1,9.79
Cc1ccc(F)c(NC(=O)Nc2ccc(Oc3ccnc(-c4cc(C(=O)N5CCC5)c[nH]4)c3)cc2)c1,16.4
Cc1ccc(CC(=O)NC2CCN(Cc3c[nH]c4ccc(F)cc34)C2)cc1,22.99
Cc1ccc(F)c(NC(=O)Nc2ccc(Oc3ccc(N)cc3)cc2)c1,11.49
Cc1ccc(F)c(NC(=O)Nc2ccc(Oc3ccnc(-c4cc(C(=O)N5CCC(C(=O)O)C5)c[nH]4)c3)cc2F)c1,5.84
C=C(CN1CCN(C)CC1)c1ccc2c(c1)CCN2C(=O)CCCc1ccccc1,25.02
COc1cc2c(Oc3ccc(NC(=O)Nc4ccc(Br)cc4F)c(Cl)c3)ncnc2cc1OCCCN1CCCC1,6.16
CN(CC1CCN(C(=O)OC(C)(C)C)CC1)c1nc(Nc2ccc3c(c2)NC(=O)CC3)nc2ccccc12,29.18
CN(CCO)Cc1ccc(-c2cc3nccc(Nc4ccc5[nH]ccc5c4)c3s2)cc1,8.32
O=C(Nc1ccc(Cl)cc1)Nc1ccc(-c2ccc(C(=O)NCCCN3CCOCC3)cc2)cc1,17.68
COC(=O)c1cc(O)c(O)c(O)c1-c1ccc(O)c(O)c1,20.83
Nc1c(-c2nc3ccccc3[nH]2)c(O)nc2cnccc12,5.84
CCOC(=O)CN1CCN(CCCNC(=O)c2cc3nccc(Oc4ccc(NC(=O)Nc5cc(C)ccc5F)cc4)c3s2)CC1,5.99
Cc1cccc2cc3[nH]c4ccccc4c3nc12,19.71
COc1cc2c(Oc3ccc(NC(=O)Nc4cccc(C)c4)c(Cl)c3)ncnc2cc1OCCCN1CCCC1,12.95
COc1ccccc1NC(=O)Nc1cccnc1,14.38
Fc1cc2nc3c(cc2c(Oc2ccc(Cl)cc2)c1Cn1cnc2c(C(F)(F)F)nccc21)CCCC3,39.87
CCCCOCCCNC(=O)c1ccccc1OCC,23.41
Cc1ccccc1NC(=O)CSc1nc(=O)c2c(C)c(C)sc2[nH]1,23.46
Cc1ccc(NC(=O)Nc2ccc(-c3csc4c(-c5cnn(CC(C)(C)O)c5)cnc(N)c34)cc2)cc1,10.57
O=C(O)c1cc2c(=O)c(Cc3ccccc3)coc2cc1O,20.83
O=C1NCc2ccc(Nc3ccc(O)cc3)cc21,18.41
CNC(=O)c1ccccc1Sc1ccc2c(C=Cc3ccc(F)cc3)[nH]nc2c1,13.93
COCCN=c1nc(Oc2ccnc(Oc3ccc(NC(=O)Nc4cc(C)ccc4F)cc3)c2)cc[nH]1,17.22
COc1cc2c(Oc3ccc(NC(=O)Nc4cccc(F)c4)c(Cl)c3)ncnc2cc1OCCCN1CCCC1,10.28
CC(C)(C)NC(=O)Nc1ccc2[nH]nc(-c3nc4cc(N5CCC(N6CCCCC6)CC5)ccc4[nH]3)c2c1,6.37
Nc1ncnc2occ(-c3ccc(NC(=O)Nc4cc(C(F)(F)F)ccc4F)cc3)c12,5.36
Nc1cccc(C=Cc2cc(O)c3ccccc3c2O)c1,19.49
Cc1[nH]c2cc(-c3cnc(N4CCCC4)nc3)cc(F)c2c1-c1ccc(=N)[nH]c1,25.6
Cc1ccc(F)c(NC(=O)Nc2ccc(Oc3ccnc4cc(C(=O)NCCc5nn[nH]n5)sc34)cc2)c1,5.91
O=C(CN1CCN(CCO)CC1)Nc1ccc2ccccc2c1,17.04
Nc1c(-c2nc3cc(N4CCOCC4)ccc3[nH]2)c(O)nc2cnccc12,6.13
CS(=O)(=O)Cc1cccc(Nc2nccc(Oc3ccc4c(C(=O)Nc5ccccc5)cccc4c3)n2)c1,5.33
Fc1ccc2c(-c3nc4cc(N5CCC(N6CCCCC6)CC5)ccc4[nH]3)[nH]nc2c1,6.0
